customer_id,last_purchase_date,frequency,monetary_value,recency,R_score,F_score,M_score,RFM_Score,segment
14095,2013-09-11,4,1802.21,292,1,3,3,133,Regular
16259,2014-05-10,3,2756.54,51,4,2,3,423,Regular
27620,2014-02-22,3,88.97,128,3,2,2,322,Regular
20587,2014-04-04,5,2378.95,87,3,4,3,343,Regular
25456,2014-06-13,1,4.99,17,4,1,1,411,Regular
26684,2014-02-06,3,4468.16,144,3,2,4,324,Regular
29094,2014-01-11,2,796.34,170,2,1,3,213,At Risk
28158,2014-05-26,3,5997.33,35,4,2,4,424,Regular
16797,2013-06-10,4,1732.26,385,1,3,3,133,Regular
23289,2013-07-16,2,34.98,349,1,1,1,111,At Risk
11928,2014-05-15,3,47.94,46,4,2,1,421,Regular
18961,2014-04-18,4,2369.96,73,4,3,3,433,High Value
18486,2013-08-03,2,6021.62,331,1,1,4,114,At Risk
19482,2013-08-15,3,1854.58,319,1,2,3,123,At Risk
22399,2013-10-04,3,2785.05,269,1,2,3,123,At Risk
15569,2014-02-25,2,3077.98,125,3,1,4,314,Regular
11822,2014-01-26,3,87.28,155,3,2,2,322,Regular
24225,2014-01-04,2,93.49,177,2,1,2,212,At Risk
27142,2014-02-24,4,791.32,126,3,3,3,333,Regular
12343,2014-02-20,4,5567.93,130,3,3,4,334,Regular
11347,2013-08-16,2,13.98,318,1,1,1,111,At Risk
22708,2014-02-10,3,88.97,140,3,2,2,322,Regular
23704,2014-03-03,4,600.46,119,3,3,3,333,Regular
20003,2014-05-17,3,579.97,44,4,2,3,423,Regular
29847,2014-05-01,8,2803.99,60,4,4,3,443,High Value
15781,2014-02-09,5,3209.94,141,3,4,4,344,Regular
20172,2014-04-27,3,3150.4,64,4,2,4,424,Regular
11516,2013-11-16,5,5915.54,226,2,4,4,244,Regular
12512,2013-08-23,1,8.99,311,1,1,1,111,At Risk
21709,2014-04-05,2,1155.48,86,3,1,3,313,Regular
29369,2014-05-15,4,2422.54,46,4,3,3,433,High Value
29890,2013-11-30,27,13137.37,212,2,4,4,244,Regular
19313,2014-05-23,4,2533.46,38,4,3,3,433,High Value
21234,2013-07-21,2,119.98,344,1,1,2,112,At Risk
16734,2013-11-11,3,128.97,231,2,2,2,222,At Risk
14570,2013-10-05,2,39.98,268,1,1,1,111,At Risk
12821,2014-05-14,7,124.94,47,4,4,2,442,Regular
21477,2013-11-21,3,23.97,221,2,2,1,221,At Risk
27311,2013-12-18,2,33.98,194,2,1,1,211,At Risk
25147,2013-12-31,2,39.98,181,2,1,1,211,At Risk
23398,2014-02-18,3,553.97,132,3,2,3,323,Regular
17255,2014-02-05,4,4442.24,145,3,3,4,334,Regular
19960,2013-11-14,4,6120.11,228,2,3,4,234,Regular
26452,2013-09-11,2,59.98,292,1,1,2,112,At Risk
15091,2013-10-06,2,39.98,267,1,1,1,111,At Risk
28616,2014-05-05,1,120.0,56,4,1,2,412,Regular
30016,2012-09-30,1,1229.46,638,1,1,3,113,At Risk
28095,2013-11-27,1,2.29,215,2,1,1,211,At Risk
25931,2013-12-24,2,27.28,188,2,1,1,211,At Risk
18529,2014-06-30,2,39.98,0,4,1,1,411,Regular
24457,2013-11-14,3,3356.04,228,2,2,4,224,At Risk
15260,2013-09-04,4,45.95,299,1,3,1,131,Regular
26621,2014-03-03,1,28.99,119,3,1,1,311,Regular
17424,2014-04-19,4,2423.48,72,4,3,3,433,High Value
12990,2014-03-03,4,6829.47,119,3,3,4,334,Regular
21646,2013-07-21,3,563.77,344,1,2,3,123,At Risk
17318,2013-09-26,3,43.97,277,1,2,1,121,At Risk
14401,2013-10-22,3,15.23,251,2,2,1,221,At Risk
24978,2013-12-14,4,155.08,198,2,3,2,232,Regular
20650,2014-01-05,2,1174.48,176,2,1,3,213,At Risk
25868,2013-11-05,4,5798.04,237,2,3,4,234,Regular
21540,2013-12-09,3,1602.47,203,2,2,3,223,At Risk
14507,2013-07-15,2,39.98,350,1,1,1,111,At Risk
17212,2014-04-29,3,61.97,62,4,2,2,422,Regular
24351,2013-09-06,2,2393.06,297,1,1,3,113,At Risk
13617,2014-06-22,5,141.91,8,4,4,2,442,Regular
28679,2014-05-15,2,27.28,46,4,1,1,411,Regular
13680,2014-01-06,5,5948.24,175,2,4,4,244,Regular
18008,2014-03-08,4,2459.07,114,3,3,3,333,Regular
22877,2014-03-12,2,5962.34,110,3,1,4,314,Regular
27205,2013-03-25,1,2049.1,462,1,1,3,113,At Risk
22230,2014-02-25,5,4223.23,125,3,4,4,344,Regular
17902,2013-12-05,4,4158.32,207,2,3,4,234,Regular
20066,2013-10-09,2,1170.48,264,1,1,3,113,At Risk
24394,2013-12-01,2,36.59,211,2,1,1,211,At Risk
15738,2014-05-18,3,166.28,43,4,2,2,422,Regular
28573,2011-09-21,1,3578.27,1013,1,1,4,114,At Risk
11759,2013-12-09,3,8054.05,203,2,2,4,224,At Risk
14464,2013-12-03,4,3357.72,209,2,3,4,234,Regular
13923,2013-09-10,2,56.97,293,1,1,2,112,At Risk
16628,2014-05-24,4,187.58,37,4,3,2,432,Regular
18792,2014-04-26,3,1775.47,65,4,2,3,423,Regular
27099,2012-10-26,1,782.99,612,1,1,3,113,At Risk
29263,2014-04-30,2,38.98,61,4,1,1,411,Regular
13033,2014-06-19,4,45.95,11,4,3,1,431,Regular
29953,2013-03-30,181,130995.99,457,1,4,4,144,Regular
25625,2013-06-02,4,2433.04,393,1,3,3,133,Regular
27789,2014-01-30,3,553.97,151,3,2,3,323,Regular
22920,2014-04-28,4,91.95,63,4,3,2,432,Regular
24474,2014-05-02,2,3882.55,59,4,1,4,414,Regular
15984,2014-02-26,3,3124.96,124,3,2,4,324,Regular
18901,2013-11-15,1,35.0,227,2,1,1,211,At Risk
27391,2013-12-15,2,33.98,197,2,1,1,211,At Risk
11052,2013-10-27,7,8131.32,246,2,4,4,244,Regular
19542,2013-11-10,3,579.97,232,2,2,3,223,At Risk
17550,2014-05-21,1,4.99,40,4,1,1,411,Regular
13113,2014-04-06,7,6832.41,85,4,4,4,444,High Value
18022,2013-07-30,3,63.97,335,1,2,2,122,At Risk
16030,2014-06-22,6,73.54,8,4,4,2,442,Regular
29429,2014-05-14,3,60.47,47,4,2,2,422,Regular
17504,2014-05-06,4,4362.74,55,4,3,4,434,High Value
22459,2013-06-22,1,539.99,373,1,1,2,112,At Risk
11098,2014-03-18,4,88.96,104,3,3,2,332,Regular
29475,2011-11-29,1,3399.99,944,1,1,4,114,At Risk
21062,2013-08-13,3,563.77,321,1,2,3,123,At Risk
18068,2014-04-02,2,2439.99,89,3,1,3,313,Regular
11593,2013-11-19,3,5908.25,223,2,2,4,224,At Risk
28247,2014-05-17,2,5962.34,44,4,1,4,414,Regular
19419,2014-03-08,3,1602.47,114,3,2,3,323,Regular
28788,2013-06-30,1,8.99,365,1,1,1,111,At Risk
20421,2013-10-09,3,118.97,264,1,2,2,122,At Risk
28911,2014-01-04,1,4.99,177,2,1,1,211,At Risk
20083,2014-04-06,2,39.98,85,4,1,1,411,Regular
21603,2013-07-06,4,567.76,359,1,3,3,133,Regular
19024,2013-08-25,4,699.97,309,1,3,3,133,Regular
18360,2014-03-01,2,1750.98,121,3,1,3,313,Regular
20939,2014-04-19,2,13.98,72,4,1,1,411,Regular
19588,2013-09-02,3,6056.61,301,1,2,4,124,At Risk
20375,2014-04-07,4,4438.38,84,4,3,4,434,High Value
20129,2013-09-04,2,119.98,299,1,1,2,112,At Risk
19465,2013-10-19,1,4.99,254,2,1,1,211,At Risk
29721,2014-05-01,54,40221.12,60,4,4,4,444,High Value
13405,2013-12-24,11,10778.61,188,2,4,4,244,Regular
29970,2014-03-01,21,27283.89,121,3,4,4,344,Regular
26389,2013-09-27,3,36.27,276,1,2,1,121,At Risk
24812,2013-11-03,2,82.59,239,2,1,2,212,At Risk
21480,2014-05-28,2,39.98,33,4,1,1,411,Regular
16548,2014-04-22,2,4624.91,69,4,1,4,414,Regular
11390,2014-04-09,3,48.97,82,4,2,1,421,Regular
23933,2014-01-09,3,563.77,172,2,2,3,223,At Risk
18609,2014-04-17,3,1785.97,74,4,2,3,423,Regular
27955,2013-11-20,2,38.98,222,2,1,1,211,At Risk
26332,2014-01-16,2,49.48,165,3,1,1,311,Regular
11639,2014-06-10,5,127.26,20,4,4,2,442,Regular
23000,2014-06-15,4,94.46,15,4,3,2,432,Regular
12572,2014-02-11,2,2611.41,139,3,1,3,313,Regular
23979,2013-11-15,2,6.28,227,2,1,1,211,At Risk
13159,2014-05-17,8,208.18,44,4,4,2,442,Regular
12910,2014-03-08,2,56.97,114,3,1,2,312,Regular
15074,2014-06-21,2,85.48,9,4,1,2,412,Regular
26286,2014-05-19,6,3308.17,42,4,4,4,444,High Value
14925,2013-08-29,2,2721.55,305,1,1,3,113,At Risk
24915,2013-10-09,3,2145.92,264,1,2,3,123,At Risk
28450,2013-07-15,3,68.97,350,1,2,2,122,At Risk
11931,2014-04-05,7,234.44,86,3,4,2,342,Regular
17089,2013-11-08,3,64.97,234,2,2,2,222,At Risk
22751,2013-11-13,4,133.47,229,2,3,2,232,Regular
23292,2013-12-30,2,34.98,182,2,1,1,211,At Risk
27909,2014-03-12,2,548.98,110,3,1,2,312,Regular
12618,2014-04-16,5,5923.23,75,4,4,4,444,High Value
26435,2014-04-26,3,1957.47,65,4,2,3,423,Regular
24271,2014-03-25,4,2745.33,97,3,3,3,333,Regular
15028,2013-11-26,3,3826.4,216,2,2,4,224,At Risk
12864,2014-05-16,6,86.24,45,4,4,2,442,Regular
26930,2013-08-20,4,1263.82,314,1,3,3,133,Regular
24520,2013-11-28,3,2462.55,214,2,2,3,223,At Risk
24766,2013-12-25,3,71.58,187,2,2,2,222,At Risk
13451,2014-03-20,1,21.98,102,3,1,1,311,Regular
27617,2014-04-29,4,5976.32,62,4,3,4,434,High Value
25994,2014-03-08,5,4626.11,114,3,4,4,344,Regular
14633,2014-04-02,11,242.5,89,3,4,2,342,Regular
14092,2014-02-08,2,56.97,142,3,1,2,312,Regular
25453,2014-03-23,2,1170.48,99,3,1,3,313,Regular
22233,2013-11-14,3,5997.33,228,2,2,4,224,At Risk
19316,2014-05-01,2,2701.43,60,4,1,3,413,Regular
27806,2013-07-22,1,3.99,343,1,1,1,111,At Risk
19173,2013-12-21,3,1594.42,191,2,2,3,223,At Risk
14218,2014-01-18,9,5651.88,163,3,4,4,344,Regular
22874,2013-09-21,2,548.98,282,1,1,2,112,At Risk
11513,2013-11-08,5,863.95,234,2,4,3,243,Regular
16445,2014-04-09,3,3242.83,82,4,2,4,424,Regular
24105,2013-08-16,2,2419.06,318,1,1,3,113,At Risk
28496,2014-01-10,1,69.99,171,2,1,2,212,At Risk
25791,2014-04-29,3,60.47,62,4,2,2,422,Regular
18483,2013-07-16,3,6056.61,349,1,2,4,124,At Risk
15904,2013-10-31,4,1394.95,242,2,3,3,233,Regular
20647,2014-01-13,2,1155.48,168,2,1,3,213,At Risk
17919,2014-02-13,3,4733.75,137,3,2,4,324,Regular
26624,2014-01-25,3,2826.44,156,3,2,4,324,Regular
20790,2013-12-20,2,14.98,192,2,1,1,211,At Risk
29844,2014-03-01,380,402409.7,121,3,4,4,344,Regular
18775,2013-07-05,1,69.99,360,1,1,2,112,At Risk
20524,2013-10-28,3,68.97,245,2,2,2,222,At Risk
21188,2013-10-30,4,123.96,243,2,3,2,232,Regular
28662,2013-12-09,4,4827.1,203,2,3,4,234,Regular
29203,2013-12-05,4,4334.6,207,2,3,4,234,Regular
11178,2013-10-26,6,144.76,247,2,4,2,242,Regular
17842,2013-08-19,3,37.27,315,1,2,1,121,At Risk
22539,2013-10-26,4,98.96,247,2,3,2,232,Regular
20006,2013-10-29,2,1155.48,244,2,1,3,213,At Risk
11301,2014-03-13,5,131.26,109,3,4,2,342,Regular
19834,2013-11-15,2,119.98,227,2,1,2,212,At Risk
21998,2013-12-14,2,56.98,198,2,1,2,212,At Risk
17301,2014-04-30,2,74.98,61,4,1,2,412,Regular
13820,2014-02-24,3,5908.26,126,3,2,4,324,Regular
18148,2013-10-09,3,1518.58,264,1,2,3,123,At Risk
24397,2013-08-02,3,38.88,332,1,2,1,121,At Risk
12054,2014-05-19,11,402.53,42,4,4,2,442,Regular
19714,2013-12-14,2,548.98,198,2,1,2,212,At Risk
15386,2014-01-27,1,4.99,154,3,1,1,311,Regular
28370,2014-03-09,5,638.95,113,3,4,3,343,Regular
17009,2014-04-10,3,2351.96,81,4,2,3,423,Regular
25038,2014-05-29,2,2438.06,32,4,1,3,413,Regular
13677,2014-06-06,2,39.98,24,4,1,1,411,Regular
21941,2014-05-03,2,1174.48,58,4,1,3,413,Regular
17315,2013-11-21,3,6030.61,221,2,2,4,224,At Risk
12987,2014-03-16,4,6759.47,106,3,3,4,334,Regular
21400,2013-10-19,5,2688.89,254,2,4,3,243,Regular
15151,2014-03-24,2,4344.09,98,3,1,4,314,Regular
23564,2014-02-15,2,34.98,135,3,1,1,311,Regular
23415,2013-08-24,3,3588.83,310,1,2,4,124,At Risk
25579,2013-08-27,2,39.98,307,1,1,1,111,At Risk
15692,2013-12-31,7,8392.3,181,2,4,4,244,Regular
26020,2014-03-18,4,1932.46,104,3,3,3,333,Regular
13279,2013-10-23,4,4533.52,250,2,3,4,234,Regular
13528,2014-01-19,5,4531.04,162,3,4,4,344,Regular
15443,2013-07-08,2,7.28,357,1,1,1,111,At Risk
25181,2013-08-04,1,32.6,330,1,1,1,111,At Risk
21692,2013-12-12,2,14.98,200,2,1,1,211,At Risk
17607,2014-01-30,2,54.98,151,3,1,1,311,Regular
23856,2014-04-03,2,603.49,88,3,1,3,313,Regular
14510,2013-12-23,5,3036.37,189,2,4,4,244,Regular
12346,2014-02-18,5,6864.46,132,3,4,4,344,Regular
27494,2014-03-31,5,1952.45,91,3,4,3,343,Regular
16133,2014-06-06,8,164.82,24,4,4,2,442,Regular
11805,2014-04-07,4,128.97,84,4,3,2,432,Regular
16674,2014-01-29,6,76.15,152,3,4,2,342,Regular
28035,2013-09-29,1,69.99,274,1,1,2,112,At Risk
23166,2013-11-18,3,556.93,224,2,2,3,223,At Risk
25871,2014-02-06,3,64.97,144,3,2,2,322,Regular
13969,2014-05-13,3,77.27,48,4,2,2,422,Regular
23707,2014-04-21,3,565.47,70,4,2,3,423,Regular
25330,2014-05-31,3,100.09,30,4,2,2,422,Regular
24640,2013-11-18,2,2419.06,224,2,1,3,213,At Risk
22648,2014-02-06,2,2475.95,144,3,1,3,313,Regular
23644,2014-03-07,2,39.98,115,3,1,1,311,Regular
19731,2014-05-06,2,78.98,55,4,1,2,412,Regular
17716,2013-10-16,2,2701.43,257,2,1,3,213,At Risk
15841,2014-02-02,3,3105.27,148,3,2,4,324,Regular
27202,2013-08-09,4,96.92,325,1,3,2,132,Regular
18712,2014-01-28,2,24.27,153,3,1,1,311,Regular
23690,2013-07-04,2,38.98,361,1,1,1,111,At Risk
